taxon_id;url;ecoflora_latin_name;taxon_name_canonical;hybrid_formula;ecoflora_author;ecoflora_family;ecoflora_english_name;ecoflora_plant_number;ecoflora_welsh_name;ecoflora_irish_name;taxon_name_authors;taxon_name;taxon_name_from_url;is_hybrid;taxon_id_accepted;taxon_name_accepted;taxon_name_canonical_accepted;date;contributor
ecoflora:260010060;http://ecoflora.org.uk/search_species2.php?plant_no=260010060;Abies alba;Abies alba;NA;Mill.;Pinaceae;European Silver-fir;260010060;NA;NA;Mill.;Abies alba Mill.;Abies alba;FALSE;gbif:2685484;Abies alba Mill.;Abies alba;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:260010020;http://ecoflora.org.uk/search_species2.php?plant_no=260010020;Abies grandis;Abies grandis;NA;(Douglas ex D. Don) Lindl.;Pinaceae;Giant Fir;260010020;NA;NA;(Douglas ex D. Don) Lindl.;Abies grandis (Douglas ex D. Don) Lindl.;Abies grandis;FALSE;gbif:2685361;Abies grandis (Douglas ex D.Don) Lindl.;Abies grandis;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:260010050;http://ecoflora.org.uk/search_species2.php?plant_no=260010050;Abies nordmanniana;Abies nordmanniana;NA;(Steven) Spach;Pinaceae;Caucasian Fir;260010050;NA;NA;(Steven) Spach;Abies nordmanniana (Steven) Spach;Abies nordmanniana;FALSE;gbif:2685552;Abies nordmanniana (Steven) Spach;Abies nordmanniana;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:260010010;http://ecoflora.org.uk/search_species2.php?plant_no=260010010;Abies procera;Abies procera;NA;Rehder;Pinaceae;Noble Fir;260010010;NA;NA;Rehder;Abies procera Rehder;Abies procera;FALSE;gbif:2685308;Abies procera Rehd.;Abies procera;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1060090010;http://ecoflora.org.uk/search_species2.php?plant_no=1060090010;Abutilon theophrasti;Abutilon theophrasti;NA;Medik.;Malvaceae;Velvetleaf;1060090010;NA;NA;Medik.;Abutilon theophrasti Medik.;Abutilon theophrasti;FALSE;gbif:3152614;Abutilon theophrasti Medik.;Abutilon theophrasti;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:810040070;http://ecoflora.org.uk/search_species2.php?plant_no=810040070;Acacia melanoxylon;Acacia melanoxylon;NA;R. Br.;Mimosaceae;Australian Blackwood;810040070;NA;NA;R. Br.;Acacia melanoxylon R. Br.;Acacia melanoxylon;FALSE;gbif:2979000;Acacia melanoxylon R.Br.;Acacia melanoxylon;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800150010;http://ecoflora.org.uk/search_species2.php?plant_no=800150010;Acaena anserinifolia;Acaena anserinifolia;NA;(J.R. Forst. & G. Forst.) Druce;Rosaceae;Bronze Pirri-pirri-bur;800150010;NA;NA;(J.R. Forst. & G. Forst.) Druce;Acaena anserinifolia (J.R. Forst. & G. Forst.) Druce;Acaena anserinifolia;FALSE;gbif:7942884;Acaena anserinifolia (J.R.Forst. & G.Forst.) Druce;Acaena anserinifolia;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920004325;http://ecoflora.org.uk/search_species2.php?plant_no=920004325;Acaena anserinifolia x inermis;Acaena anserinifolia x inermis;NA;None;Rosaceae;NA;920004325;NA;NA;;Acaena anserinifolia x inermis;Acaena anserinifolia x inermis;TRUE;NA;NA;NA;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920002530;http://ecoflora.org.uk/search_species2.php?plant_no=920002530;Acaena inermis;Acaena inermis;NA;Hook. f.;Rosaceae;Spineless Acaena;920002530;NA;NA;Hook. f.;Acaena inermis Hook. f.;Acaena inermis;FALSE;gbif:5370687;Acaena inermis Hook.fil.;Acaena inermis;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800150019;http://ecoflora.org.uk/search_species2.php?plant_no=800150019;Acaena novae-zelandiae;Acaena novae-zelandiae;NA;Kirk;Rosaceae;Pirri-pirri-bur;800150019;NA;NA;Kirk;Acaena novae-zelandiae Kirk;Acaena novae-zelandiae;FALSE;gbif:5370755;Acaena novae-zelandiae Kirk;Acaena novae-zelandiae;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920002526;http://ecoflora.org.uk/search_species2.php?plant_no=920002526;Acaena ovalifolia;Acaena ovalifolia;NA;Ruiz & Pav.;Rosaceae;Two-spined Acaena;920002526;NA;NA;Ruiz & Pav.;Acaena ovalifolia Ruiz & Pav.;Acaena ovalifolia;FALSE;gbif:5370651;Acaena ovalifolia Ruiz & Pav.;Acaena ovalifolia;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1560010010;http://ecoflora.org.uk/search_species2.php?plant_no=1560010010;Acanthus mollis;Acanthus mollis;NA;L.;Acanthaceae;Bear's-breech;1560010010;NA;NA;L.;Acanthus mollis L.;Acanthus mollis;FALSE;gbif:5415455;Acanthus mollis L.;Acanthus mollis;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1560010030;http://ecoflora.org.uk/search_species2.php?plant_no=1560010030;Acanthus spinosus;Acanthus spinosus;NA;L.;Acanthaceae;Spiny Bear's-breech;1560010030;NA;NA;L.;Acanthus spinosus L.;Acanthus spinosus;FALSE;gbif:5415453;Acanthus spinosus L.;Acanthus spinosus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:950010030;http://ecoflora.org.uk/search_species2.php?plant_no=950010030;Acer campestre;Acer campestre;NA;L.;Sapindaceae;Field Maple;950010030;Masarnwydd Lleiaf;NA;L.;Acer campestre L.;Acer campestre;FALSE;gbif:3189863;Acer campestre L.;Acer campestre;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920007132;http://ecoflora.org.uk/search_species2.php?plant_no=920007132;Acer cappadocicum;Acer cappadocicum;NA;Gled.;Sapindaceae;Cappadocian Maple;920007132;NA;NA;Gled.;Acer cappadocicum Gled.;Acer cappadocicum;FALSE;gbif:7262908;Acer cappadocicum Gled.;Acer cappadocicum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:950010150;http://ecoflora.org.uk/search_species2.php?plant_no=950010150;Acer negundo;Acer negundo;NA;L.;Sapindaceae;Ashleaf Maple;950010150;NA;NA;L.;Acer negundo L.;Acer negundo;FALSE;gbif:3189866;Acer negundo L.;Acer negundo;Mon Sep 13 18:51:48 2021;Marina Golivets
