NAMNR;taxonID;taxonName;taxonRank;isHybrid;taxonNameEdited;taxonNameEditedShort;taxonNameEditedAuthors;higherTaxonID;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;keep;remark;taxonNameForGSL;isAquatic
1;floraweb:1;Abies alba Mill.;species;FALSE;Abies alba Mill.;Abies alba;Mill.;floraweb:1;Abies alba Mill.;Abies alba Mill.;1415;1087;1;;Abies alba;
10000;floraweb:10000;Abies concolor (Gord.) Hildebr.;species;FALSE;Abies concolor (Gord.) Hildebr.;Abies concolor;(Gord.) Hildebr.;floraweb:10000;Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;15;5;1;;Abies concolor;
10001;floraweb:10001;Abies grandis (D. Don) Lindl.;species;FALSE;Abies grandis (D.Don) Lindl.;Abies grandis;(D.Don) Lindl.;floraweb:10001;Abies grandis (Douglas ex D.Don) Lindl.;Abies grandis (Douglas ex D.Don) Lindl.;87;8;1;;Abies grandis;
30281;floraweb:30281;Abies homolepis Siebold et Zucc.;species;FALSE;Abies homolepis Siebold & Zucc.;Abies homolepis;Siebold & Zucc.;floraweb:30281;Abies homolepis Siebold & Zucc.;Abies homolepis Siebold & Zucc.;1;0;0;cultivated/doubtful/incorrectID;Abies homolepis;
30283;floraweb:30283;Abies koreana E. H. Wilson;species;FALSE;Abies koreana E.H.Wilson;Abies koreana;E.H.Wilson;floraweb:30283;Abies koreana E.H.Wilson;Abies koreana E.H.Wilson;2;2;1;;Abies koreana;
10004;floraweb:10004;Abies nordmanniana (Steven) Spach;species;FALSE;Abies nordmanniana (Steven) Spach;Abies nordmanniana;(Steven) Spach;floraweb:10004;Abies nordmanniana (Steven) Spach;Abies nordmanniana (Steven) Spach;32;3;1;;Abies nordmanniana;
34065;floraweb:34065;Abies nordmanniana subsp. nordmanniana;subsp;FALSE;Abies nordmanniana subsp. nordmanniana;Abies nordmanniana subsp. nordmanniana;NA;floraweb:10004;Abies nordmanniana (Steven) Spach;Abies nordmanniana (Steven) Spach;0;0;0;no data;Abies nordmanniana subsp. nordmanniana;
10003;floraweb:10003;Abies procera Rehder;species;FALSE;Abies procera Rehder;Abies procera;Rehder;floraweb:10003;Abies procera Rehder;Abies procera Rehder;6;1;1;;Abies procera;
30282;floraweb:30282;Abies veitchii Lindl.;species;FALSE;Abies veitchii Lindl.;Abies veitchii;Lindl.;floraweb:30282;Abies veitchii Lindl.;Abies veitchii Lindl.;0;0;0;absent in DE;Abies veitchii;
2;floraweb:2;Abutilon theophrasti Medik.;species;FALSE;Abutilon theophrasti Medik.;Abutilon theophrasti;Medik.;floraweb:2;Abutilon theophrasti Medik.;Abutilon theophrasti Medik.;335;314;1;;Abutilon theophrasti;
30302;floraweb:30302;Acaena microphylla Hook. f.;species;FALSE;Acaena microphylla Hook.f.;Acaena microphylla;Hook.f.;floraweb:30302;Acaena microphylla Hook.f.;Acaena microphylla Hook.f.;0;0;0;absent in DE;Acaena microphylla;
30278;floraweb:30278;Acaena novae-zelandiae;species;FALSE;Acaena novae-zelandiae Kirk;Acaena novae-zelandiae;Kirk;floraweb:30278;Acaena novae-zeelandiae Kirk;Acaena novae-zeelandiae Kirk;1;1;1;;Acaena novae-zelandiae;
31817;floraweb:31817;Acalypha lanceolata;species;FALSE;Acalypha lanceolata Willd.;Acalypha lanceolata;Willd.;floraweb:31817;Acalypha lanceolata Willd.;Acalypha lanceolata Willd.;0;0;0;absent in DE;Acalypha lanceolata;
30303;floraweb:30303;Acanthus mollis L.;species;FALSE;Acanthus mollis L.;Acanthus mollis;L.;floraweb:30303;Acanthus mollis L.;Acanthus mollis L.;0;0;0;no data;Acanthus mollis;
6;floraweb:6;Acer campestre L.;species;FALSE;Acer campestre L.;Acer campestre;L.;floraweb:6;Acer campestre L.;Acer campestre L.;2662;2407;1;;Acer campestre;
10005;floraweb:10005;Acer cappadocicum;species;FALSE;Acer cappadocicum Gled.;Acer cappadocicum;Gled.;floraweb:10005;Acer cappadocicum Gled.;Acer cappadocicum Gled.;3;1;1;;Acer cappadocicum;
33078;floraweb:33078;Acer japonicum Thunb.;species;FALSE;Acer japonicum Thunb.;Acer japonicum;Thunb.;floraweb:33078;Acer japonicum Thunb.;Acer japonicum Thunb.;1;0;0;cultivated/doubtful/incorrectID;Acer japonicum;
10007;floraweb:10007;Acer macrophyllum;species;FALSE;Acer macrophyllum Pursh;Acer macrophyllum;Pursh;floraweb:10007;Acer macrophyllum Pursh;Acer macrophyllum Pursh;0;0;0;no data;Acer macrophyllum;
29650;floraweb:29650;Acer monspessulanum subsp. monspessulanum;subsp;FALSE;Acer monspessulanum subsp. monspessulanum;Acer monspessulanum subsp. monspessulanum;NA;floraweb:7;Acer monspessulanum L.;Acer monspessulanum L.;63;52;1;;Acer monspessulanum subsp. monspessulanum;
