verbatim;parent;edited
Acaena anserinifolia x inermis;Acaena anserinifolia;Acaena anserinifolia × inermis
Acaena anserinifolia x inermis;Acaena inermis;Acaena anserinifolia × inermis
Aconitum x cammarum L.;Aconitum napellus;Aconitum × cammarum L.
Aconitum x cammarum L.;Aconitum variegatum;Aconitum × cammarum L.
Agrostis gigantea x stolonifera;Agrostis gigantea;Agrostis gigantea × stolonifera
Agrostis gigantea x stolonifera;Agrostis stolonifera;Agrostis gigantea × stolonifera
Agrostis x bjoerkmanii Widén;Agrostis capillaris;Agrostis × bjoerkmanii Widén
Agrostis x bjoerkmanii Widén;Agrostis gigantea;Agrostis × bjoerkmanii Widén
Agrostis x fouilladeana Lambinon & Verloove;Agrostis capillaris;Agrostis × fouilladeana Lambinon & Verloove
Agrostis x fouilladeana Lambinon & Verloove;Agrostis castellana;Agrostis × fouilladeana Lambinon & Verloove
Alnus x hybrida A. Braun ex Rchb.;Alnus glutinosa;Alnus × hybrida A. Braun ex Rchb.
Alnus x hybrida A. Braun ex Rchb.;Alnus incana;Alnus × hybrida A. Braun ex Rchb.
Amaranthus x ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus retroflexus;Amaranthus × ozanonii (Thell.) C. Schust. & M. Goldschm.
Amaranthus x ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus hybridus;Amaranthus × ozanonii (Thell.) C. Schust. & M. Goldschm.
Anchusa x baumgartenii (Nyman) Gusul.;Anchusa ochroleuca;Anchusa × baumgartenii (Nyman) Gusul.
Anchusa x baumgartenii (Nyman) Gusul.;Anchusa officinalis;Anchusa × baumgartenii (Nyman) Gusul.
Anemone x hybrida Paxton;Anemone hupehensis;Anemone × hybrida Paxton
Anemone x hybrida Paxton;Anemone vitifolia;Anemone × hybrida Paxton
Arctium x nothum (Ruhmer) J. Weiss;Arctium lappa;Arctium × nothum (Ruhmer) J. Weiss
Arctium x nothum (Ruhmer) J. Weiss;Arctium minus;Arctium × nothum (Ruhmer) J. Weiss
Artemisia x wurzellii C.M. James & Stace;Artemisia vulgaris;Artemisia × wurzellii C.M. James & Stace
Artemisia x wurzellii C.M. James & Stace;Artemisia verlotiorum;Artemisia × wurzellii C.M. James & Stace
Aster x salignus Willd.;Aster novi-belgii;Aster × salignus Willd.
Aster x salignus Willd.;Aster lanceolatus;Aster × salignus Willd.
Aster x versicolor Willd.;Aster laevis;Aster × versicolor Willd.
Aster x versicolor Willd.;Aster novi-belgii;Aster × versicolor Willd.
Astilbe x arendsii Arends;Astilbe japonica;Astilbe × arendsii Arends
Astilbe x arendsii Arends;Astilbe chinensis;Astilbe × arendsii Arends
Astilbe x arendsii Arends;Astilbe rosea;Astilbe × arendsii Arends
Avena x hybrida Peterm.;Avena fatua;Avena × hybrida Peterm.
Avena x hybrida Peterm.;Avena sativa;Avena × hybrida Peterm.
Berberis x stenophylla Lindl.;Berberis darwinii;Berberis × stenophylla Lindl.
