verbatim;edited;parent
Acer × zoeschense Pax;Acer × zoeschense Pax;NA
Achillea millefolium × nobilis;Achillea millefolium × nobilis;Achillea millefolium
Achillea millefolium × nobilis;Achillea millefolium × nobilis;Achillea nobilis
Achillea millefolium × pannonica;Achillea millefolium × pannonica;Achillea millefolium
Achillea millefolium × pannonica;Achillea millefolium × pannonica;Achillea pannonica
Achillea roseoalba Ehrend.;Achillea roseoalba Ehrend.;NA
Achillea nobilis × setacea;Achillea nobilis × setacea;Achillea nobilis
Achillea nobilis × setacea;Achillea nobilis × setacea;Achillea setacea
Acinos alpinus × arvensis;Acinos alpinus × arvensis;Acinos alpinus
Acinos alpinus × arvensis;Acinos alpinus × arvensis;Acinos arvensis
Aconitum cammarum L.;Aconitum cammarum L.;NA
Aconitum napellus × variegatum;Aconitum napellus × variegatum;Aconitum napellus
Aconitum napellus × variegatum;Aconitum napellus × variegatum;Aconitum variegatum
Aconitum degenii × napellus;Aconitum degenii × napellus;Aconitum degenii
Aconitum degenii × napellus;Aconitum degenii × napellus;Aconitum napellus
Aconitum napellus × pilipes;Aconitum napellus × pilipes;Aconitum napellus
Aconitum napellus × pilipes;Aconitum napellus × pilipes;Aconitum pilipes
Aconitum napellus × plicatum;Aconitum napellus × plicatum;Aconitum napellus
Aconitum napellus × plicatum;Aconitum napellus × plicatum;Aconitum plicatum
Aconitum napellus subsp. lusitanicum × A. plicatum;Aconitum napellus subsp. lusitanicum × A. plicatum;Aconitum napellus subsp. lusitanicum
Aconitum napellus subsp. lusitanicum × A. plicatum;Aconitum napellus subsp. lusitanicum × A. plicatum;Aconitum  plicatum
Aconitum napellus × tauricum;Aconitum napellus × tauricum;Aconitum napellus
Aconitum napellus × tauricum;Aconitum napellus × tauricum;Aconitum tauricum
Aconitum napellus subsp. lusitanicum × A. tauricum;Aconitum napellus subsp. lusitanicum × A. tauricum;Aconitum napellus subsp. lusitanicum
Aconitum napellus subsp. lusitanicum × A. tauricum;Aconitum napellus subsp. lusitanicum × A. tauricum;Aconitum  tauricum
Aconitum pilipes × tauricum;Aconitum pilipes × tauricum;Aconitum pilipes
Aconitum pilipes × tauricum;Aconitum pilipes × tauricum;Aconitum tauricum
Aconitum plicatum × variegatum;Aconitum plicatum × variegatum;Aconitum plicatum
Aconitum plicatum × variegatum;Aconitum plicatum × variegatum;Aconitum variegatum
Aconitum tauricum × variegatum;Aconitum tauricum × variegatum;Aconitum tauricum
Aconitum tauricum × variegatum;Aconitum tauricum × variegatum;Aconitum variegatum
Aconitum pilipes (Rchb.) Gáyer;Aconitum pilipes (Rchb.) Gáyer;NA
Aconitum degenii × pilipes;Aconitum degenii × pilipes;Aconitum degenii
Aconitum degenii × pilipes;Aconitum degenii × pilipes;Aconitum pilipes
Aconitum degenii × variegatum;Aconitum degenii × variegatum;Aconitum degenii
Aconitum degenii × variegatum;Aconitum degenii × variegatum;Aconitum variegatum
Aconitum pilipes × variegatum;Aconitum pilipes × variegatum;Aconitum pilipes
Aconitum pilipes × variegatum;Aconitum pilipes × variegatum;Aconitum variegatum
Aesculus carnea Hayne;Aesculus carnea Hayne;NA
Agrimonia eupatoria × odorata;Agrimonia eupatoria × odorata;Agrimonia eupatoria
Agrimonia eupatoria × odorata;Agrimonia eupatoria × odorata;Agrimonia odorata
Agrostis capillaris × gigantea;Agrostis capillaris × gigantea;Agrostis capillaris
Agrostis capillaris × gigantea;Agrostis capillaris × gigantea;Agrostis gigantea
Agrostis canina × stolonifera;Agrostis canina × stolonifera;Agrostis canina
Agrostis canina × stolonifera;Agrostis canina × stolonifera;Agrostis stolonifera
Agrostis gigantea × stolonifera;Agrostis gigantea × stolonifera;Agrostis gigantea
Agrostis gigantea × stolonifera;Agrostis gigantea × stolonifera;Agrostis stolonifera
Agrostis × murbeckii Fouill. ex P. Fourn.;Agrostis × murbeckii Fouill. ex P. Fourn.;NA
Agrostis stolonifera × Polypogon monspeliensis;Agrostis stolonifera × Polypogon monspeliensis;Agrostis stolonifera
Agrostis stolonifera × Polypogon monspeliensis;Agrostis stolonifera × Polypogon monspeliensis;Polypogon monspeliensis
Agrostis stolonifera × vinealis;Agrostis stolonifera × vinealis;Agrostis stolonifera
Agrostis stolonifera × vinealis;Agrostis stolonifera × vinealis;Agrostis vinealis
Ajuga genevensis × pyramidalis;Ajuga genevensis × pyramidalis;Ajuga genevensis
Ajuga genevensis × pyramidalis;Ajuga genevensis × pyramidalis;Ajuga pyramidalis
Ajuga × hybrida Kern.;Ajuga × hybrida Kern.;NA
Ajuga pyramidalis × reptans;Ajuga pyramidalis × reptans;Ajuga pyramidalis
Ajuga pyramidalis × reptans;Ajuga pyramidalis × reptans;Ajuga reptans
Allium × proliferum (Moench) Schrad. ex Willd.;Allium × proliferum (Moench) Schrad. ex Willd.;NA
Alnus × pubescens;Alnus × pubescens;NA
Alnus × hybrida;Alnus × hybrida;NA
Alopecurus geniculatus × pratensis;Alopecurus geniculatus × pratensis;Alopecurus geniculatus
Alopecurus geniculatus × pratensis;Alopecurus geniculatus × pratensis;Alopecurus pratensis
Alopecurus × haussknechtianus Asch. & Graebn.;Alopecurus × haussknechtianus Asch. & Graebn.;NA
Amaranthus hybridus × retroflexus;Amaranthus hybridus × retroflexus;Amaranthus hybridus
Amaranthus hybridus × retroflexus;Amaranthus hybridus × retroflexus;Amaranthus retroflexus
Amaranthus powellii × retroflexus;Amaranthus powellii × retroflexus;Amaranthus powellii
Amaranthus powellii × retroflexus;Amaranthus powellii × retroflexus;Amaranthus retroflexus
Amelanchier grandiflora Rehder;Amelanchier grandiflora Rehder;NA
Calammophila baltica (Flüggé ex Schrad.) Brand;Calammophila baltica (Flüggé ex Schrad.) Brand;NA
Orchis × morioides Brand;Orchis × morioides Brand;NA
Anemone × hybrida Paxton;Anemone × hybrida Paxton;NA
Anemone nemorosa × ranunculoides;Anemone nemorosa × ranunculoides;Anemone nemorosa
Anemone nemorosa × ranunculoides;Anemone nemorosa × ranunculoides;Anemone ranunculoides
Anthemis arvensis × tinctoria;Anthemis arvensis × tinctoria;Anthemis arvensis
Anthemis arvensis × tinctoria;Anthemis arvensis × tinctoria;Anthemis tinctoria
Anthemis cotula × tictoria;Anthemis cotula × tictoria;Anthemis cotula
Anthemis cotula × tictoria;Anthemis cotula × tictoria;Anthemis tictoria
Anthemis × ochroleuca Čelak.;Anthemis × ochroleuca Čelak.;NA
Anthemis ruthenica × tinctoria;Anthemis ruthenica × tinctoria;Anthemis ruthenica
Anthemis ruthenica × tinctoria;Anthemis ruthenica × tinctoria;Anthemis tinctoria
Anthericum × confusum;Anthericum × confusum;NA
Arctium × ambiguum (Čelak.) Nyman;Arctium × ambiguum (Čelak.) Nyman;NA
Arctium × cimbricum;Arctium × cimbricum;NA
Arctium minus × nemorosum;Arctium minus × nemorosum;Arctium minus
