verbatim;edited;parent
Dactylorhiza incarnata subsp. cruenta x Dactylorhiza fuchsii var. fuchsii;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza fuchsii var. fuchsii;Dactylorhiza incarnata subsp. cruenta
Dactylorhiza incarnata subsp. cruenta x Dactylorhiza fuchsii var. fuchsii;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza fuchsii var. fuchsii;Dactylorhiza fuchsii var. fuchsii
Aconitum napellus subsp. formosum x subsp. napellus;Aconitum napellus subsp. formosum × subsp. napellus;Aconitum napellus subsp. formosum
Aconitum napellus subsp. formosum x subsp. napellus;Aconitum napellus subsp. formosum × subsp. napellus;Aconitum napellus subsp. napellus
Anacamptis morio subsp. longicornu x Anacamptis papilionacea var. expansa;Anacamptis morio subsp. longicornu × Anacamptis papilionacea var. expansa;Anacamptis morio subsp. longicornu
Anacamptis morio subsp. longicornu x Anacamptis papilionacea var. expansa;Anacamptis morio subsp. longicornu × Anacamptis papilionacea var. expansa;Anacamptis papilionacea var. expansa
Ulmus glabra x Ulmus minor subsp. procera;Ulmus glabra × Ulmus minor subsp. procera;Ulmus glabra
Ulmus glabra x Ulmus minor subsp. procera;Ulmus glabra × Ulmus minor subsp. procera;Ulmus minor subsp. procera
Asplenium trichomanes subsp. quadrivalens x subsp. trichomanes;Asplenium trichomanes subsp. quadrivalens × subsp. trichomanes;Asplenium trichomanes subsp. quadrivalens
Asplenium trichomanes subsp. quadrivalens x subsp. trichomanes;Asplenium trichomanes subsp. quadrivalens × subsp. trichomanes;Asplenium trichomanes subsp. trichomanes
Rubus dumetorum var. x schistosus;Rubus dumetorum var. schistosus;NA
Asplenium trichomanes subsp. pachyrhachis x subsp. quadrivalens;Asplenium trichomanes subsp. pachyrhachis × subsp. quadrivalens;Asplenium trichomanes subsp. pachyrhachis
Asplenium trichomanes subsp. pachyrhachis x subsp. quadrivalens;Asplenium trichomanes subsp. pachyrhachis × subsp. quadrivalens;Asplenium trichomanes subsp. quadrivalens
Genista lobelii x Genista pulchella subsp. villarsiana;Genista lobelii × Genista pulchella subsp. villarsiana;Genista lobelii
Genista lobelii x Genista pulchella subsp. villarsiana;Genista lobelii × Genista pulchella subsp. villarsiana;Genista pulchella subsp. villarsiana
Noccaea corymbosa x Noccaea alpestris subsp. sylvium;Noccaea corymbosa × Noccaea alpestris subsp. sylvium;Noccaea corymbosa
Noccaea corymbosa x Noccaea alpestris subsp. sylvium;Noccaea corymbosa × Noccaea alpestris subsp. sylvium;Noccaea alpestris subsp. sylvium
Potentilla fruticosa var. x friedrichsenii;Potentilla fruticosa var. friedrichsenii;NA
Bupleurum ranunculoides subsp. ranunculoides x Bupleurum ranunculoides subsp. telonense;Bupleurum ranunculoides subsp. ranunculoides × Bupleurum ranunculoides subsp. telonense;Bupleurum ranunculoides subsp. ranunculoides
Bupleurum ranunculoides subsp. ranunculoides x Bupleurum ranunculoides subsp. telonense;Bupleurum ranunculoides subsp. ranunculoides × Bupleurum ranunculoides subsp. telonense;Bupleurum ranunculoides subsp. telonense
Ophrys incubacea x Ophrys aranifera subsp. praecox;Ophrys incubacea × Ophrys aranifera subsp. praecox;Ophrys incubacea
Ophrys incubacea x Ophrys aranifera subsp. praecox;Ophrys incubacea × Ophrys aranifera subsp. praecox;Ophrys aranifera subsp. praecox
Anacamptis laxiflora x Dactylorhiza elata subsp. sesquipedalis;Anacamptis laxiflora × Dactylorhiza elata subsp. sesquipedalis;Anacamptis laxiflora
