id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:1000000-1;Elymus × mucronatus (Opiz) Conert;NA;NA;Elymus × mucronatus (Opiz) Conert
urn:lsid:ipni.org:names:1000001-1;× Elyleymus strictus (Dethard.) Conert;NA;NA;× Elyleymus strictus (Dethard.) Conert
urn:lsid:ipni.org:names:1000002-1;× Elyleymus bergrothii (H.Lindb.) Conert;NA;NA;× Elyleymus bergrothii (H.Lindb.) Conert
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;Stilifolium stacyi (Garay) Lückel;urn:lsid:ipni.org:names:1000277-1;Stilifolium × marvraganii Lückel
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;Stilifolium jonesianum (Rchb.f.) Königer & D.Pongratz;urn:lsid:ipni.org:names:999285-1;Stilifolium × marvraganii Lückel
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;Reynoutria japonica var. uzenensis;urn:lsid:ipni.org:names:51006770-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;Reynoutria sachalinensis Nakai;urn:lsid:ipni.org:names:696697-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu
urn:lsid:ipni.org:names:1000421-1;Viola chinoi f. sordida E.Hama ex T.Shimizu;NA;NA;Viola chinoi f. sordida E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;Viola sieboldii;urn:lsid:ipni.org:names:50886686-1;Viola × eizasieboldii Sugim. ex T.Shimizu
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;Viola eizanensis (Makino) Makino;urn:lsid:ipni.org:names:868094-1;Viola × eizasieboldii Sugim. ex T.Shimizu
urn:lsid:ipni.org:names:1000423-1;Viola miyajiana f. sordida E.Hama ex T.Shimizu;NA;NA;Viola miyajiana f. sordida E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;Viola acuminata Ledeb.;urn:lsid:ipni.org:names:867555-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;Viola obtusa Makino;urn:lsid:ipni.org:names:868815-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu
urn:lsid:ipni.org:names:1000425-1;Viola ogawae f. variegata E.Hama ex T.Shimizu;NA;NA;Viola ogawae f. variegata E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola × okuharae F.Maek. ex T.Shimizu
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;Viola hirtipes S.Moore;urn:lsid:ipni.org:names:868313-1;Viola × okuharae F.Maek. ex T.Shimizu
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;Viola sieboldii Maxim. f. variegata E.Hama;urn:lsid:ipni.org:names:892720-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000429-1;Viola savatieri f. variegata E.Hama ex T.Shimizu;NA;NA;Viola savatieri f. variegata E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000431-1;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu;NA;NA;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu
