verbatim;parent;edited
Allium ×proliferum;Allium cepa;Allium × proliferum
Salix ×grahamii;Salix repens;Salix × grahamii
Salix ×boydii;Salix reticulata;Salix × boydii
Salix ×austriaca;Salix purpurea;Salix × austriaca
Salix ×rubra;Salix purpurea;Salix × rubra
Prunus ×amygdalopersica;Prunus dulcis;Prunus × amygdalopersica
×Malosorbus florentina;Malus sylvestris;× Malosorbus florentina
Viola mirabilis × riviniana;Viola riviniana;Viola mirabilis × riviniana
Citrus × sinensis;Citrus maxima;Citrus × sinensis
Picea × lutzii;Picea glauca;Picea × lutzii
Picea albertiana;Picea glauca;Picea albertiana
Aloe ×schimperi;Aloe maculata;Aloe × schimperi
Salix ×tsugaluensis;Salix integra;Salix × tsugaluensis
Cistus akamantis;Cistus salviifolius;Cistus akamantis
Cistus florentinus;Cistus salviifolius;Cistus florentinus
Cistus obtusifolius;Cistus salviifolius;Cistus obtusifolius
Cistus cebennensis;Cistus salviifolius;Cistus cebennensis
Cistus verguinii;Cistus salviifolius;Cistus verguinii
Cistus pauranthus;Cistus salviifolius;Cistus pauranthus
Cistus timbalii;Cistus salviifolius;Cistus timbalii
Cistus neyrauti;Cistus salviifolius;Cistus neyrauti
Cistus hybridus;Cistus salviifolius;Cistus hybridus
Cistus ×dubius;Cistus salviifolius;Cistus × dubius
Aloe ×schimperi;Aloe striata;Aloe × schimperi
Pyrus ×irregularis;Pyrus communis;Pyrus × irregularis
Galactites ×rigualii;Galactites tomentosus;Galactites × rigualii
Populus ×canadensis;Populus nigra;Populus × canadensis
Populus ×berolinensis;Populus nigra;Populus × berolinensis
Picea × lutzii;Picea sitchensis;Picea × lutzii
×Malosorbus florentina;Sorbus torminalis;× Malosorbus florentina
Ulmus ×hollandica;Ulmus minor;Ulmus × hollandica
Ulmus ×hollandica;Ulmus glabra;Ulmus × hollandica
Cylindropuntia ×fosbergii;Cylindropuntia bigelovii;Cylindropuntia × fosbergii
Hibiscadelphus ×puakuahiwi;Hibiscadelphus hualalaiensis;Hibiscadelphus × puakuahiwi
Populus ×canadensis;Populus deltoides;Populus × canadensis
Populus × jackii;Populus deltoides;Populus × jackii
Cylindropuntia ×fosbergii;Cylindropuntia echinocarpa;Cylindropuntia × fosbergii
Populus × jackii;Populus balsamifera;Populus × jackii
Colchicum ×agrippinum;Colchicum autumnale;Colchicum × agrippinum
Tilia × europaea;Tilia platyphyllos;Tilia × europaea
Galium ×pomeranicum;Galium verum;Galium × pomeranicum
Betula aurata;Betula pendula;Betula aurata
Alnus pubescens;Alnus glutinosa;Alnus pubescens
Salix ×grahamii;Salix aurita;Salix × grahamii
Salix ×laestadiana;Salix cinerea;Salix × laestadiana
Salix ×altobracensis;Salix cinerea;Salix × altobracensis
Symphytum ×uplandicum;Symphytum officinale;Symphytum × uplandicum
Betula aurata;Betula pubescens;Betula aurata
Alnus pubescens;Alnus incana;Alnus pubescens
Amaranthus × soproniensis;Amaranthus retroflexus;Amaranthus × soproniensis
Amaranthus × adulterinus;Amaranthus retroflexus;Amaranthus × adulterinus
Platanus × hispanica;Platanus occidentalis;Platanus × hispanica
Carex ×acutangula;Carex acuta;Carex × acutangula
Pyrus ×irregularis;Sorbus aria;Pyrus × irregularis
Carex x takoensis;Carex lasiocarpa;Carex x takoensis
Atriplex ×northusana;Atriplex patula;Atriplex × northusana
Acer ×freemanii;Acer saccharinum;Acer × freemanii
Rubus ×castoreus;Rubus saxatilis;Rubus × castoreus
Salix ×rubra;Salix viminalis;Salix × rubra
Malus dawsoniana;Malus pumila;Malus dawsoniana
Tilia × euchlora;Tilia cordata;Tilia × euchlora
Tilia × europaea;Tilia cordata;Tilia × europaea
Annona ×atemoya;Annona cherimola;Annona × atemoya
Rumex ×dolosus;Rumex aquaticus;Rumex × dolosus
