taxonID;Taxon;taxonName;taxonNameEdited;taxonNameEditedShort;taxonNameAuthors;taxonRank;isHybrid;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;taxonNameForGSL;keep;remark
pladias:1;Abies alba;Abies alba Mill.;Abies alba Mill.;Abies alba;Mill.;species;NA;Abies alba Mill.;Abies alba Mill.;582;519;Abies alba;1;NA
pladias:3353;Abies cephalonica;Abies cephalonica Loudon;Abies cephalonica Loudon;Abies cephalonica;Loudon;species;NA;Abies cephalonica Loudon;Abies cephalonica Loudon;3;3;Abies cephalonica;0;cultivated
pladias:2085;Abies concolor;Abies concolor (Gordon et Glend.) Lindl. ex Hildebr.;Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;Abies concolor;(Gordon & Glend.) Lindl. ex Hildebr.;species;NA;Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;57;55;Abies concolor;1;NA
pladias:878;Abies grandis;Abies grandis (Douglas ex D. Don) Lindl.;Abies grandis (Douglas ex D.Don) Lindl.;Abies grandis;(Douglas ex D.Don) Lindl.;species;NA;Abies grandis (Douglas ex D.Don) Lindl.;Abies grandis (Douglas ex D.Don) Lindl.;137;128;Abies grandis;1;NA
pladias:3627;Abies homolepis;Abies homolepis Siebold et Zucc.;Abies homolepis Siebold & Zucc.;Abies homolepis;Siebold & Zucc.;species;NA;Abies homolepis Siebold & Zucc.;Abies homolepis Siebold & Zucc.;8;8;Abies homolepis;0;cultivated
pladias:1791;Abies nordmanniana;Abies nordmanniana (Steven) Spach;Abies nordmanniana (Steven) Spach;Abies nordmanniana;(Steven) Spach;species;NA;Abies nordmanniana (Steven) Spach;Abies nordmanniana (Steven) Spach;40;39;Abies nordmanniana;1;NA
pladias:1928;Abutilon theophrasti;Abutilon theophrasti Medik.;Abutilon theophrasti Medik.;Abutilon theophrasti;Medik.;species;NA;Abutilon theophrasti Medik.;Abutilon theophrasti Medik.;137;127;Abutilon theophrasti;1;NA
pladias:3954;Acanthus hungaricus;Acanthus hungaricus (Borbás) Baen.;Acanthus hungaricus (Borbás) Baen.;Acanthus hungaricus;(Borbás) Baen.;species;NA;Acanthus hungaricus (Borbás) Baenitz;Acanthus hungaricus (Borbás) Baenitz;1;1;Acanthus hungaricus;1;NA
pladias:906;Acer campestre;Acer campestre L.;Acer campestre L.;Acer campestre;L.;species;NA;Acer campestre L.;Acer campestre L.;470;431;Acer campestre;1;NA
pladias:3990;Acer japonicum;Acer japonicum Thunb.;Acer japonicum Thunb.;Acer japonicum;Thunb.;species;NA;Acer japonicum Thunb.;Acer japonicum Thunb.;2;2;Acer japonicum;0;cultivated
pladias:3679;Acer monspessulanum;Acer monspessulanum L.;Acer monspessulanum L.;Acer monspessulanum;L.;species;NA;Acer monspessulanum L.;Acer monspessulanum L.;2;2;Acer monspessulanum;1;NA
pladias:907;Acer negundo;Acer negundo L.;Acer negundo L.;Acer negundo;L.;species;NA;Acer negundo L.;Acer negundo L.;336;312;Acer negundo;1;NA
pladias:3628;Acer palmatum;Acer palmatum Thunb.;Acer palmatum Thunb.;Acer palmatum;Thunb.;species;NA;Acer palmatum Thunb.;Acer palmatum Thunb.;7;7;Acer palmatum;0;cultivated
pladias:2;Acer platanoides;Acer platanoides L.;Acer platanoides L.;Acer platanoides;L.;species;NA;Acer platanoides L.;Acer platanoides L.;644;580;Acer platanoides;1;NA
pladias:3;Acer pseudoplatanus;Acer pseudoplatanus L.;Acer pseudoplatanus L.;Acer pseudoplatanus;L.;species;NA;Acer pseudoplatanus L.;Acer pseudoplatanus L.;666;590;Acer pseudoplatanus;1;NA
pladias:2086;Acer saccharinum;Acer saccharinum L.;Acer saccharinum L.;Acer saccharinum;L.;species;NA;Acer saccharinum L.;Acer saccharinum L.;61;60;Acer saccharinum;1;NA
