key;accepted;kingdom;scientificName;speciesKey;taxonID
9831595;NA;Plantae;Dactylorhiza incarnata subsp. cruenta x Dactylorhiza fuchsii var. fuchsii;NA;NA
9833254;NA;Plantae;Aconitum napellus subsp. formosum x subsp. napellus;NA;NA
9845076;NA;Plantae;Anacamptis morio subsp. longicornu x Anacamptis papilionacea var. expansa;NA;NA
9884851;NA;Plantae;Gymnadenia x Nigritella;NA;NA
9906815;NA;Plantae;Gymnadenia x Pseudorchis;NA;NA
9930029;NA;Plantae;Ulmus glabra x Ulmus minor subsp. procera;NA;NA
9937685;NA;Plantae;Asplenium trichomanes subsp. quadrivalens x subsp. trichomanes;NA;NA
9942596;NA;Plantae;Rubus dumetorum var. x schistosus;NA;NA
9956023;NA;Plantae;Asplenium trichomanes subsp. pachyrhachis x subsp. quadrivalens;NA;NA
9958261;NA;Plantae;Genista lobelii x Genista pulchella subsp. villarsiana;NA;NA
9970082;NA;Plantae;Noccaea corymbosa x Noccaea alpestris subsp. sylvium;NA;NA
9970539;NA;Plantae;Potentilla fruticosa var. x friedrichsenii;NA;NA
9991252;NA;Plantae;Bupleurum ranunculoides subsp. ranunculoides x Bupleurum ranunculoides subsp. telonense;NA;NA
10000447;NA;Plantae;Lychnis x Silene;NA;NA
10001574;NA;Plantae;Ophrys incubacea x Ophrys aranifera subsp. praecox;NA;NA
10054201;NA;Plantae;Anacamptis laxiflora x Dactylorhiza elata subsp. sesquipedalis;NA;NA
10082421;NA;Plantae;Ranunculus polyanthemos subsp. nemorosus x subsp. serpens;NA;NA
10083550;NA;Plantae;Pilosella officinarum x Pilosella piloselloides subsp. bauhinii;NA;NA
10084881;NA;Plantae;Erigeron acris subsp. acris x subsp. angulosus;NA;NA
10103255;NA;Plantae;Dactylorhiza viridis x Gymnadenia nigra subsp. rhellicani;NA;NA
10104878;NA;Plantae;Anacamptis morio subsp. picta x Serapias neglecta;NA;NA
10115311;NA;Plantae;Erysimum montosicola x Erysimum nevadense subsp. collisparsum;NA;NA
10126493;NA;Plantae;Euphrasia officinalis subsp. picta x officinalis subsp. rostkoviana;NA;NA
10133011;NA;Plantae;Dombeya delislei x elegans var. virescens;NA;NA
10133325;NA;Plantae;Dactylorhiza traunsteineri subsp. lapponica x Dactylorhiza viridis;NA;NA
10167087;NA;Plantae;Knautia arvensis x Knautia basaltica var. foreziensis;NA;NA
