verbatim;type;edited;parent;source
Acaena anserinifolia x inermis;formula;Acaena anserinifolia × inermis;Acaena anserinifolia;ecoflora
Acaena anserinifolia x inermis;formula;Acaena anserinifolia × inermis;Acaena inermis;ecoflora
Aconitum x cammarum L.;name;Aconitum ×cammarum L.;Aconitum napellus;ecoflora
Aconitum x cammarum L.;name;Aconitum ×cammarum L.;Aconitum variegatum;ecoflora
Agrostis gigantea x stolonifera;formula;Agrostis gigantea × stolonifera;Agrostis gigantea;ecoflora
Agrostis gigantea x stolonifera;formula;Agrostis gigantea × stolonifera;Agrostis stolonifera;ecoflora
Agrostis x bjoerkmanii Widén;name;Agrostis ×bjoerkmanii Widén;Agrostis capillaris;ecoflora
Agrostis x bjoerkmanii Widén;name;Agrostis ×bjoerkmanii Widén;Agrostis gigantea;ecoflora
Agrostis x fouilladeana Lambinon & Verloove;name;Agrostis ×fouilladeana Lambinon & Verloove;Agrostis capillaris;ecoflora
Agrostis x fouilladeana Lambinon & Verloove;name;Agrostis ×fouilladeana Lambinon & Verloove;Agrostis castellana;ecoflora
Alnus x hybrida A. Braun ex Rchb.;name;Alnus ×hybrida A. Braun ex Rchb.;Alnus glutinosa;ecoflora
Alnus x hybrida A. Braun ex Rchb.;name;Alnus ×hybrida A. Braun ex Rchb.;Alnus incana;ecoflora
Amaranthus x ozanonii (Thell.) C. Schust. & M. Goldschm.;name;Amaranthus ×ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus retroflexus;ecoflora
Amaranthus x ozanonii (Thell.) C. Schust. & M. Goldschm.;name;Amaranthus ×ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus hybridus;ecoflora
Anchusa x baumgartenii (Nyman) Gusul.;name;Anchusa ×baumgartenii (Nyman) Gusul.;Anchusa ochroleuca;ecoflora
Anchusa x baumgartenii (Nyman) Gusul.;name;Anchusa ×baumgartenii (Nyman) Gusul.;Anchusa officinalis;ecoflora
Anemone x hybrida Paxton;name;Anemone ×hybrida Paxton;Anemone hupehensis;ecoflora
Anemone x hybrida Paxton;name;Anemone ×hybrida Paxton;Anemone vitifolia;ecoflora
Arctium x nothum (Ruhmer) J. Weiss;name;Arctium ×nothum (Ruhmer) J. Weiss;Arctium lappa;ecoflora
Arctium x nothum (Ruhmer) J. Weiss;name;Arctium ×nothum (Ruhmer) J. Weiss;Arctium minus;ecoflora
Artemisia x wurzellii C.M. James & Stace;name;Artemisia ×wurzellii C.M. James & Stace;Artemisia vulgaris;ecoflora
Artemisia x wurzellii C.M. James & Stace;name;Artemisia ×wurzellii C.M. James & Stace;Artemisia verlotiorum;ecoflora
Aster x salignus Willd.;name;Aster ×salignus Willd.;Aster novi-belgii;ecoflora
Aster x salignus Willd.;name;Aster ×salignus Willd.;Aster lanceolatus;ecoflora
Aster x versicolor Willd.;name;Aster ×versicolor Willd.;Aster laevis;ecoflora
Aster x versicolor Willd.;name;Aster ×versicolor Willd.;Aster novi-belgii;ecoflora
Astilbe x arendsii Arends;name;Astilbe ×arendsii Arends;Astilbe japonica;ecoflora
Astilbe x arendsii Arends;name;Astilbe ×arendsii Arends;Astilbe chinensis;ecoflora
Astilbe x arendsii Arends;name;Astilbe ×arendsii Arends;Astilbe rosea;ecoflora
Avena x hybrida Peterm.;name;Avena ×hybrida Peterm.;Avena fatua;ecoflora
Avena x hybrida Peterm.;name;Avena ×hybrida Peterm.;Avena sativa;ecoflora
Berberis x stenophylla Lindl.;name;Berberis ×stenophylla Lindl.;Berberis darwinii;ecoflora
Berberis x stenophylla Lindl.;name;Berberis ×stenophylla Lindl.;Berberis empetrifolia;ecoflora
Brassica x harmsiana O.E. Schulz;name;Brassica ×harmsiana O.E. Schulz;Brassica napus;ecoflora
Brassica x harmsiana O.E. Schulz;name;Brassica ×harmsiana O.E. Schulz;Brassica rapa;ecoflora
Bromus x pseudothominei P.M.Sm.;name;Bromus ×pseudothominei P.M.Sm.;Bromus hordeaceus;ecoflora
Bromus x pseudothominei P.M.Sm.;name;Bromus ×pseudothominei P.M.Sm.;Bromus lepidus;ecoflora
Buddleja x weyeriana Weyer;name;Buddleja ×weyeriana Weyer;Buddleja davidii;ecoflora
Buddleja x weyeriana Weyer;name;Buddleja ×weyeriana Weyer;Buddleja globosa;ecoflora
Calystegia x howittiorum Brummitt;name;Calystegia ×howittiorum Brummitt;Calystegia pulchra;ecoflora
Calystegia x howittiorum Brummitt;name;Calystegia ×howittiorum Brummitt;Calystegia silvatica;ecoflora
Calystegia x lucana (Ten.) G. Don;name;Calystegia ×lucana (Ten.) G. Don;Calystegia sepium;ecoflora
Calystegia x lucana (Ten.) G. Don;name;Calystegia ×lucana (Ten.) G. Don;Calystegia silvatica;ecoflora
Calystegia x scanica Brummitt;name;Calystegia ×scanica Brummitt;Calystegia sepium;ecoflora
Calystegia x scanica Brummitt;name;Calystegia ×scanica Brummitt;Calystegia pulchra;ecoflora
Capsella x gracilis Gren.;name;Capsella ×gracilis Gren.;Capsella bursa-pastoris;ecoflora
Capsella x gracilis Gren.;name;Capsella ×gracilis Gren.;Capsella rubella;ecoflora
Centaurea x moncktonii C.E. Britton;name;Centaurea ×moncktonii C.E. Britton;Centaurea nigra;ecoflora
Centaurea x moncktonii C.E. Britton;name;Centaurea ×moncktonii C.E. Britton;Centaurea jacea;ecoflora
Cerastium x maueri M.Schulze;name;Cerastium ×maueri M.Schulze;Cerastium arvense;ecoflora
Cerastium x maueri M.Schulze;name;Cerastium ×maueri M.Schulze;Cerastium tomentosum;ecoflora
Chenopodium x bontei Aellen;name;Chenopodium ×bontei Aellen;Chenopodium carinatum;ecoflora
Chenopodium x bontei Aellen;name;Chenopodium ×bontei Aellen;Chenopodium cristatum;ecoflora
Colutea x media Willd.;name;Colutea ×media Willd.;Colutea arborescens;ecoflora
Colutea x media Willd.;name;Colutea ×media Willd.;Colutea orientalis;ecoflora
Conyza canadensis x bonariensis;formula;Conyza canadensis × bonariensis;Conyza canadensis;ecoflora
Conyza canadensis x bonariensis;formula;Conyza canadensis × bonariensis;Conyza bonariensis;ecoflora
Corylus avellana x maxima;formula;Corylus avellana × maxima;Corylus avellana;ecoflora
Corylus avellana x maxima;formula;Corylus avellana × maxima;Corylus maxima;ecoflora
Cotoneaster x suecicus G. Klotz;name;Cotoneaster ×suecicus G. Klotz;Cotoneaster dammeri;ecoflora
Cotoneaster x suecicus G. Klotz;name;Cotoneaster ×suecicus G. Klotz;Cotoneaster conspicuus;ecoflora
Cotoneaster x watereri Exell;name;Cotoneaster ×watereri Exell;Cotoneaster frigidus;ecoflora
Cotoneaster x watereri Exell;name;Cotoneaster ×watereri Exell;Cotoneaster salicifolius;ecoflora
Crataegus monogyna x heterophylla;formula;Crataegus monogyna × heterophylla;Crataegus monogyna;ecoflora
Crataegus monogyna x heterophylla;formula;Crataegus monogyna × heterophylla;Crataegus heterophylla;ecoflora
Crocosmia x crocosmiiflora (Lemoine) N.E. Br.;name;Crocosmia ×crocosmiiflora (Lemoine) N.E. Br.;Crocosmia potsii;ecoflora
Crocosmia x crocosmiiflora (Lemoine) N.E. Br.;name;Crocosmia ×crocosmiiflora (Lemoine) N.E. Br.;Crocosmia aurea;ecoflora
Crocus chrysanthus x biflorus;formula;Crocus chrysanthus × biflorus;Crocus chrysanthus;ecoflora
Crocus chrysanthus x biflorus;formula;Crocus chrysanthus × biflorus;Crocus biflorus;ecoflora
Crocus vernus x tommasinianus;formula;Crocus vernus × tommasinianus;Crocus vernus;ecoflora
Crocus vernus x tommasinianus;formula;Crocus vernus × tommasinianus;Crocus tommasinianus;ecoflora
Crocus x stellaris Haw.;name;Crocus ×stellaris Haw.;Crocus angustifolius;ecoflora
Crocus x stellaris Haw.;name;Crocus ×stellaris Haw.;Crocus flavus;ecoflora
Dianthus caryophyllus x gratianopolitanus x plumarius;formula;Dianthus caryophyllus × gratianopolitanus × plumarius;Dianthus caryophyllus;ecoflora
Dianthus caryophyllus x gratianopolitanus x plumarius;formula;Dianthus caryophyllus × gratianopolitanus × plumarius;Dianthus gratianopolitanus;ecoflora
Dianthus caryophyllus x gratianopolitanus x plumarius;formula;Dianthus caryophyllus × gratianopolitanus × plumarius;Dianthus plumarius;ecoflora
Dianthus caryophyllus x plumarius;formula;Dianthus caryophyllus × plumarius;Dianthus caryophyllus;ecoflora
Dianthus caryophyllus x plumarius;formula;Dianthus caryophyllus × plumarius;Dianthus plumarius;ecoflora
