verbatim;source;edited;type;parent
Acer × zoeschense Pax;florkart;Acer ×zoeschense Pax;name;NA
Achillea millefolium × nobilis;florkart;Achillea millefolium × nobilis;formula;Achillea millefolium
Achillea millefolium × nobilis;florkart;Achillea millefolium × nobilis;formula;Achillea nobilis
Achillea millefolium × pannonica;florkart;Achillea millefolium × pannonica;formula;Achillea millefolium
Achillea millefolium × pannonica;florkart;Achillea millefolium × pannonica;formula;Achillea pannonica
Achillea roseoalba Ehrend.;florkart;Achillea roseoalba Ehrend.;formula;NA
Achillea nobilis × setacea;florkart;Achillea nobilis × setacea;formula;Achillea nobilis
Achillea nobilis × setacea;florkart;Achillea nobilis × setacea;formula;Achillea setacea
Acinos alpinus × arvensis;florkart;Acinos alpinus × arvensis;formula;Acinos alpinus
Acinos alpinus × arvensis;florkart;Acinos alpinus × arvensis;formula;Acinos arvensis
Aconitum cammarum L.;florkart;Aconitum cammarum L.;formula;NA
Aconitum napellus × variegatum;florkart;Aconitum napellus × variegatum;formula;Aconitum napellus
Aconitum napellus × variegatum;florkart;Aconitum napellus × variegatum;formula;Aconitum variegatum
Aconitum degenii × napellus;florkart;Aconitum degenii × napellus;formula;Aconitum degenii
Aconitum degenii × napellus;florkart;Aconitum degenii × napellus;formula;Aconitum napellus
Aconitum napellus × pilipes;florkart;Aconitum napellus × pilipes;formula;Aconitum napellus
Aconitum napellus × pilipes;florkart;Aconitum napellus × pilipes;formula;Aconitum pilipes
Aconitum napellus × plicatum;florkart;Aconitum napellus × plicatum;formula;Aconitum napellus
Aconitum napellus × plicatum;florkart;Aconitum napellus × plicatum;formula;Aconitum plicatum
Aconitum napellus subsp. lusitanicum × A. plicatum;florkart;Aconitum napellus subsp. lusitanicum × A. plicatum;formula;Aconitum napellus subsp. lusitanicum
Aconitum napellus subsp. lusitanicum × A. plicatum;florkart;Aconitum napellus subsp. lusitanicum × A. plicatum;formula;Aconitum  plicatum
Aconitum napellus × tauricum;florkart;Aconitum napellus × tauricum;formula;Aconitum napellus
Aconitum napellus × tauricum;florkart;Aconitum napellus × tauricum;formula;Aconitum tauricum
Aconitum napellus subsp. lusitanicum × A. tauricum;florkart;Aconitum napellus subsp. lusitanicum × A. tauricum;formula;Aconitum napellus subsp. lusitanicum
Aconitum napellus subsp. lusitanicum × A. tauricum;florkart;Aconitum napellus subsp. lusitanicum × A. tauricum;formula;Aconitum  tauricum
Aconitum pilipes × tauricum;florkart;Aconitum pilipes × tauricum;formula;Aconitum pilipes
Aconitum pilipes × tauricum;florkart;Aconitum pilipes × tauricum;formula;Aconitum tauricum
Aconitum plicatum × variegatum;florkart;Aconitum plicatum × variegatum;formula;Aconitum plicatum
Aconitum plicatum × variegatum;florkart;Aconitum plicatum × variegatum;formula;Aconitum variegatum
Aconitum tauricum × variegatum;florkart;Aconitum tauricum × variegatum;formula;Aconitum tauricum
Aconitum tauricum × variegatum;florkart;Aconitum tauricum × variegatum;formula;Aconitum variegatum
Aconitum pilipes (Rchb.) Gáyer;florkart;Aconitum pilipes (Rchb.) Gáyer;formula;NA
Aconitum degenii × pilipes;florkart;Aconitum degenii × pilipes;formula;Aconitum degenii
Aconitum degenii × pilipes;florkart;Aconitum degenii × pilipes;formula;Aconitum pilipes
Aconitum degenii × variegatum;florkart;Aconitum degenii × variegatum;formula;Aconitum degenii
Aconitum degenii × variegatum;florkart;Aconitum degenii × variegatum;formula;Aconitum variegatum
Aconitum pilipes × variegatum;florkart;Aconitum pilipes × variegatum;formula;Aconitum pilipes
Aconitum pilipes × variegatum;florkart;Aconitum pilipes × variegatum;formula;Aconitum variegatum
Aesculus carnea Hayne;florkart;Aesculus carnea Hayne;formula;NA
Agrimonia eupatoria × odorata;florkart;Agrimonia eupatoria × odorata;formula;Agrimonia eupatoria
Agrimonia eupatoria × odorata;florkart;Agrimonia eupatoria × odorata;formula;Agrimonia odorata
Agrostis capillaris × gigantea;florkart;Agrostis capillaris × gigantea;formula;Agrostis capillaris
Agrostis capillaris × gigantea;florkart;Agrostis capillaris × gigantea;formula;Agrostis gigantea
Agrostis canina × stolonifera;florkart;Agrostis canina × stolonifera;formula;Agrostis canina
Agrostis canina × stolonifera;florkart;Agrostis canina × stolonifera;formula;Agrostis stolonifera
Agrostis gigantea × stolonifera;florkart;Agrostis gigantea × stolonifera;formula;Agrostis gigantea
Agrostis gigantea × stolonifera;florkart;Agrostis gigantea × stolonifera;formula;Agrostis stolonifera
Agrostis × murbeckii Fouill. ex P. Fourn.;florkart;Agrostis ×murbeckii Fouill. ex P. Fourn.;name;NA
Agrostis stolonifera × Polypogon monspeliensis;florkart;Agrostis stolonifera × Polypogon monspeliensis;formula;Agrostis stolonifera
Agrostis stolonifera × Polypogon monspeliensis;florkart;Agrostis stolonifera × Polypogon monspeliensis;formula;Polypogon monspeliensis
Agrostis stolonifera × vinealis;florkart;Agrostis stolonifera × vinealis;formula;Agrostis stolonifera
Agrostis stolonifera × vinealis;florkart;Agrostis stolonifera × vinealis;formula;Agrostis vinealis
Ajuga genevensis × pyramidalis;florkart;Ajuga genevensis × pyramidalis;formula;Ajuga genevensis
Ajuga genevensis × pyramidalis;florkart;Ajuga genevensis × pyramidalis;formula;Ajuga pyramidalis
Ajuga × hybrida Kern.;florkart;Ajuga ×hybrida Kern.;name;NA
Ajuga pyramidalis × reptans;florkart;Ajuga pyramidalis × reptans;formula;Ajuga pyramidalis
Ajuga pyramidalis × reptans;florkart;Ajuga pyramidalis × reptans;formula;Ajuga reptans
Allium × proliferum (Moench) Schrad. ex Willd.;florkart;Allium ×proliferum (Moench) Schrad. ex Willd.;name;NA
Alnus × pubescens;florkart;Alnus ×pubescens;name;NA
Alnus × hybrida;florkart;Alnus ×hybrida;name;NA
Alopecurus geniculatus × pratensis;florkart;Alopecurus geniculatus × pratensis;formula;Alopecurus geniculatus
Alopecurus geniculatus × pratensis;florkart;Alopecurus geniculatus × pratensis;formula;Alopecurus pratensis
Alopecurus × haussknechtianus Asch. & Graebn.;florkart;Alopecurus ×haussknechtianus Asch. & Graebn.;name;NA
Amaranthus hybridus × retroflexus;florkart;Amaranthus hybridus × retroflexus;formula;Amaranthus hybridus
Amaranthus hybridus × retroflexus;florkart;Amaranthus hybridus × retroflexus;formula;Amaranthus retroflexus
Amaranthus powellii × retroflexus;florkart;Amaranthus powellii × retroflexus;formula;Amaranthus powellii
Amaranthus powellii × retroflexus;florkart;Amaranthus powellii × retroflexus;formula;Amaranthus retroflexus
