parent;verbatim;type;edited;source
Dactylorhiza incarnata subsp. cruenta;Dactylorhiza incarnata subsp. cruenta x Dactylorhiza fuchsii var. fuchsii;formula;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza fuchsii var. fuchsii;gbif checklists
Dactylorhiza fuchsii var. fuchsii;Dactylorhiza incarnata subsp. cruenta x Dactylorhiza fuchsii var. fuchsii;formula;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza fuchsii var. fuchsii;gbif checklists
Aconitum napellus subsp. formosum;Aconitum napellus subsp. formosum x subsp. napellus;formula;Aconitum napellus subsp. formosum × subsp. napellus;gbif checklists
Aconitum napellus subsp. napellus;Aconitum napellus subsp. formosum x subsp. napellus;formula;Aconitum napellus subsp. formosum × subsp. napellus;gbif checklists
Ulmus glabra;Ulmus glabra x Ulmus minor subsp. procera;formula;Ulmus glabra × Ulmus minor subsp. procera;gbif checklists
Ulmus minor subsp. procera;Ulmus glabra x Ulmus minor subsp. procera;formula;Ulmus glabra × Ulmus minor subsp. procera;gbif checklists
Asplenium trichomanes subsp. quadrivalens;Asplenium trichomanes subsp. quadrivalens x subsp. trichomanes;formula;Asplenium trichomanes subsp. quadrivalens × subsp. trichomanes;gbif checklists
Asplenium trichomanes subsp. trichomanes;Asplenium trichomanes subsp. quadrivalens x subsp. trichomanes;formula;Asplenium trichomanes subsp. quadrivalens × subsp. trichomanes;gbif checklists
Asplenium trichomanes subsp. pachyrhachis;Asplenium trichomanes subsp. pachyrhachis x subsp. quadrivalens;formula;Asplenium trichomanes subsp. pachyrhachis × subsp. quadrivalens;gbif checklists
Asplenium trichomanes subsp. quadrivalens;Asplenium trichomanes subsp. pachyrhachis x subsp. quadrivalens;formula;Asplenium trichomanes subsp. pachyrhachis × subsp. quadrivalens;gbif checklists
Genista lobelii;Genista lobelii x Genista pulchella subsp. villarsiana;formula;Genista lobelii × Genista pulchella subsp. villarsiana;gbif checklists
Genista pulchella subsp. villarsiana;Genista lobelii x Genista pulchella subsp. villarsiana;formula;Genista lobelii × Genista pulchella subsp. villarsiana;gbif checklists
Noccaea corymbosa;Noccaea corymbosa x Noccaea alpestris subsp. sylvium;formula;Noccaea corymbosa × Noccaea alpestris subsp. sylvium;gbif checklists
