edited;formula;type;is_artificial
Acaena anserinifolia × inermis;Acaena anserinifolia × Acaena inermis;formula;FALSE
Aconitum × cammarum L.;Aconitum napellus × Aconitum variegatum;name;FALSE
Agrostis gigantea × stolonifera;Agrostis gigantea × Agrostis stolonifera;formula;FALSE
Agrostis × bjoerkmanii Widén;Agrostis capillaris × Agrostis gigantea;name;FALSE
Agrostis × fouilladeana Lambinon & Verloove;Agrostis capillaris × Agrostis castellana;name;FALSE
Alnus × hybrida A. Braun ex Rchb.;Alnus glutinosa × Alnus incana;name;FALSE
Amaranthus × ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus retroflexus × Amaranthus hybridus;name;FALSE
Anchusa × baumgartenii (Nyman) Gusul.;Anchusa ochroleuca × Anchusa officinalis;name;FALSE
Anemone × hybrida Paxton;Anemone hupehensis × Anemone vitifolia;name;FALSE
Arctium × nothum (Ruhmer) J. Weiss;Arctium lappa × Arctium minus;name;FALSE
Artemisia × wurzellii C.M. James & Stace;Artemisia vulgaris × Artemisia verlotiorum;name;FALSE
Aster × salignus Willd.;Aster novi-belgii × Aster lanceolatus;name;FALSE
Aster × versicolor Willd.;Aster laevis × Aster novi-belgii;name;FALSE
Astilbe × arendsii Arends;Astilbe japonica × Astilbe chinensis × Astilbe rosea;name;TRUE
Avena × hybrida Peterm.;Avena fatua × Avena sativa;name;FALSE
Berberis × stenophylla Lindl.;Berberis darwinii × Berberis empetrifolia;name;FALSE
Brachyglottis 'Sunshine' C. Jeffrey;Brachyglottis compacta × Brachyglottis laxifolia;formula;TRUE
Brassica × harmsiana O.E. Schulz;Brassica napus × Brassica rapa;name;FALSE
Bromus × pseudothominei P.M.Sm.;Bromus hordeaceus × Bromus lepidus;name;FALSE
Buddleja × weyeriana Weyer;Buddleja davidii × Buddleja globosa;name;FALSE
Calystegia × howittiorum Brummitt;Calystegia pulchra × Calystegia silvatica;name;FALSE
Calystegia × lucana (Ten.) G. Don;Calystegia sepium × Calystegia silvatica;name;FALSE
Calystegia × scanica Brummitt;Calystegia sepium × Calystegia pulchra;name;FALSE
Capsella × gracilis Gren.;Capsella bursa-pastoris × Capsella rubella;name;FALSE
Centaurea × moncktonii C.E. Britton;Centaurea nigra × Centaurea jacea;name;FALSE
Cerastium × maureri M.Schulze;Cerastium arvense × Cerastium tomentosum;name;FALSE
Chenopodium × bontei Aellen;Chenopodium carinatum × Chenopodium cristatum;name;FALSE
Colutea × media Willd.;Colutea arborescens × Colutea orientalis;name;FALSE
Conyza canadensis × bonariensis;Conyza canadensis × Conyza bonariensis;formula;FALSE
Corylus avellana × maxima;Corylus avellana × Corylus maxima;formula;FALSE
Cotoneaster 'Hybridus Pendulus' hort. nom. nud.;Cotoneaster salicifolius × Cotoneaster dammeri;formula;TRUE
Cotoneaster × suecicus G. Klotz;Cotoneaster dammeri × Cotoneaster conspicuus;name;FALSE
Cotoneaster × watereri Exell;Cotoneaster frigidus × Cotoneaster salicifolius;name;FALSE
Crataegus monogyna × heterophylla;Crataegus monogyna × Crataegus heterophylla;formula;FALSE
Crocosmia × crocosmiiflora (Lemoine) N.E. Br.;Crocosmia potsii × Crocosmia aurea;name;FALSE
Crocus chrysanthus × biflorus;Crocus chrysanthus × Crocus biflorus;formula;FALSE
Crocus vernus × tommasinianus;Crocus vernus × Crocus tommasinianus;formula;FALSE
Crocus × stellaris Haw.;Crocus angustifolius × Crocus flavus;name;FALSE
Dianthus caryophyllus × gratianopolitanus × plumarius;Dianthus caryophyllus × Dianthus gratianopolitanus × Dianthus plumarius;formula;FALSE
Dianthus caryophyllus × plumarius;Dianthus caryophyllus × Dianthus plumarius;formula;FALSE
Dianthus gratianopolitanus × caryophyllus;Dianthus gratianopolitanus × Dianthus caryophyllus;formula;FALSE
Dianthus gratianopolitanus × plumarius;Dianthus gratianopolitanus × Dianthus plumarius;formula;FALSE
Dipsacus fullonum × sativus;Dipsacus fullonum × Dipsacus sativus;formula;FALSE
Dipsacus × pseudosilvester Schur;Dipsacus fullonum × Dipsacus laciniatus;name;FALSE
Doronicum × excelsum (N.E. Br.) Stace;Doronicum pardalianches × Doronicum plantagineum × Doronicum columnae;name;FALSE
Doronicum × willdenowii (Rouy) A.W. Hill;Doronicum pardalianches × Doronicum plantagineum;name;FALSE
Epilobium ciliatum × lanceolatum;Epilobium ciliatum × Epilobium lanceolatum;formula;FALSE
Epilobium × brunnatum Kitchener & McKean;Epilobium ciliatum × Epilobium brunnescens;name;FALSE
Epilobium × chateri Kitchener & McKean;Epilobium palustre × Epilobium brunnescens;name;FALSE
Epilobium × confusilobum Kitchener & McKean;Epilobium montanum × Epilobium brunnescens;name;FALSE
Epilobium × floridulum Smejkal;Epilobium parviflorum × Epilobium ciliatum;name;FALSE
Epilobium × fossicola Smejkal;Epilobium ciliatum × Epilobium palustre;name;FALSE
Epilobium × interjectum Smejkal;Epilobium montanum × Epilobium ciliatum;name;FALSE
Epilobium × mentiens Smejkal;Epilobium tetragonum × Epilobium ciliatum;name;FALSE
Epilobium × novae-civitatis Smejkal;Epilobium hirsutum × Epilobium ciliatum;name;FALSE
Epilobium × nutantiflorum Smejkal;Epilobium roseum × Epilobium ciliatum;name;FALSE
Epilobium × obscurescens Kitchener & McKean;Epilobium obscurum × Epilobium brunnescens;name;FALSE
Epilobium × vicinum;Epilobium obscurum × Epilobium ciliatum;name;FALSE
Erica × darleyensis Bean;Erica erigena × Erica carnea;name;FALSE
Erysimum × marshallii (Henfr.) Bois;Erysimum decumbens × Erysimum perofskianum;name;FALSE
Euphorbia × gayeri Boros & Soó;Euphorbia cyparissias × Euphorbia waldsteinii;name;FALSE
Euphorbia × pseudoesula Schur;Euphorbia esula × Euphorbia cyparissias;name;FALSE
Euphorbia × pseudovirgata (Schur) Soó;Euphorbia esula × Euphorbia waldsteinii;name;FALSE
Fallopia × bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia japonica × Fallopia sachalinensis;name;FALSE
Fallopia × conollyana J.P. Bailey;Fallopia japonica × Fallopia baldschuanica;name;FALSE
Festuca arundinacea × Lolium multiflorum;Festuca arundinacea × Lolium multiflorum;formula;FALSE
Festuca rubra × Vulpia myuros;Festuca rubra × Vulpia myuros;formula;FALSE
Forsythia × intermedia hort. ex Zabel;Forsythia suspensa × Forsythia viridissima;name;TRUE
Fuchsia 'Corallina' hort. ex Lynch;Fuchsia cordifolia × Fuchsia globosa;formula;TRUE
Fumaria officinalis × densiflora;Fumaria officinalis × Fumaria densiflora;formula;FALSE
Fumaria officinalis × parviflora;Fumaria officinalis × Fumaria parviflora;formula;FALSE
Fumaria × painteri Pugsley;Fumaria muralis × Fumaria officinalis;name;FALSE
Gaillardia × grandiflora hort. ex Van Houtte;Gaillardia aristata × Gaillardia pulchella;name;TRUE
Galanthus elwesii × plicatus;Galanthus elwesii × Galanthus plicatus;formula;FALSE
Galanthus nivalis × elwesii;Galanthus nivalis × Galanthus elwesii;formula;FALSE
Galanthus nivalis × plicatus;Galanthus nivalis × Galanthus plicatus;formula;FALSE
Galium × pomeranicum Retz.;Galium verum × Galium mollugo;name;FALSE
Gaultheria × wisleyensis D.J. Middleton;Gaultheria shallon × Gaultheria mucronata;name;FALSE
