verbatim;type;edited;edited2;edited3;source;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Acaena anserinifolia x inermis;formula;Acaena anserinifolia × inermis;Acaena anserinifolia × inermis;NA;ecoflora;NA;NA;Acaena anserinifolia;Acaena inermis;7942884;7942884;5370687;5370687
Aconitum x cammarum L.;name;Aconitum × cammarum L.;Aconitum ×cammarum L.;Aconitum × cammarum;ecoflora;7967494;7276900;Aconitum napellus;Aconitum variegatum;3033665;3033665;8090449;8090449
Agrostis gigantea x stolonifera;formula;Agrostis gigantea × stolonifera;Agrostis gigantea × stolonifera;NA;ecoflora;10303464;10303464;Agrostis gigantea;Agrostis stolonifera;2706541;2706541;2706435;2706435
Agrostis x bjoerkmanii Widén;name;Agrostis × bjoerkmanii Widén;Agrostis ×bjoerkmanii Widén;Agrostis × bjoerkmanii;ecoflora;5942450;5942450;Agrostis capillaris;Agrostis gigantea;2706490;2706490;2706541;2706541
Agrostis x fouilladeana Lambinon & Verloove;name;Agrostis × fouilladeana Lambinon & Verloove;Agrostis ×fouilladeana Lambinon & Verloove;Agrostis × fouilladeana;ecoflora;4122968;4122968;Agrostis capillaris;Agrostis castellana;2706490;2706490;2706501;2706501
Alnus x hybrida A. Braun ex Rchb.;name;Alnus × hybrida A. Braun ex Rchb.;Alnus ×hybrida A. Braun ex Rchb.;Alnus × hybrida;ecoflora;2876576;2876571;Alnus glutinosa;Alnus incana;2876213;2876213;9148577;9148577
Amaranthus x ozanonii (Thell.) C. Schust. & M. Goldschm.;name;Amaranthus × ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus ×ozanonii (Thell.) C. Schust. & M. Goldschm.;Amaranthus × ozanonii;ecoflora;8079858;8079858;Amaranthus retroflexus;Amaranthus hybridus;6109534;6109534;5384364;5384364
Anchusa x baumgartenii (Nyman) Gusul.;name;Anchusa × baumgartenii (Nyman) Gusul.;Anchusa ×baumgartenii (Nyman) Gusul.;Anchusa × baumgartenii;ecoflora;7555217;7295374;Anchusa ochroleuca;Anchusa officinalis;5662089;5662089;5341201;5341201
Anemone x hybrida Paxton;name;Anemone × hybrida Paxton;Anemone ×hybrida Paxton;Anemone × hybrida;ecoflora;3925834;9673106;Anemone hupehensis;Anemone vitifolia;3033229;9677963;7276828;3925297
Arctium x nothum (Ruhmer) J. Weiss;name;Arctium × nothum (Ruhmer) J. Weiss;Arctium ×nothum (Ruhmer) J. Weiss;Arctium × nothum;ecoflora;5393084;5393084;Arctium lappa;Arctium minus;7353729;7353729;5393103;5393103
Artemisia x wurzellii C.M. James & Stace;name;Artemisia × wurzellii C.M. James & Stace;Artemisia ×wurzellii C.M. James & Stace;Artemisia × wurzellii;ecoflora;3121656;3121656;Artemisia vulgaris;Artemisia verlotiorum;3120946;3120946;3120790;3120790
Aster x salignus Willd.;name;Aster × salignus Willd.;Aster ×salignus Willd.;Aster × salignus;ecoflora;7483367;3151811;Aster novi-belgii;Aster lanceolatus;5406382;3151558;NA;NA
Aster x versicolor Willd.;name;Aster × versicolor Willd.;Aster ×versicolor Willd.;Aster × versicolor;ecoflora;5406499;3151751;Aster laevis;Aster novi-belgii;NA;NA;5406382;3151558
Avena x hybrida Peterm.;name;Avena × hybrida Peterm.;Avena ×hybrida Peterm.;Avena × hybrida;ecoflora;8373305;8373305;Avena fatua;Avena sativa;2705297;2705297;2705290;2705290
Berberis x stenophylla Lindl.;name;Berberis × stenophylla Lindl.;Berberis ×stenophylla Lindl.;Berberis × stenophylla;ecoflora;8143254;8143254;Berberis darwinii;Berberis empetrifolia;3033905;3033905;7300424;7300424
Brassica x harmsiana O.E. Schulz;name;Brassica × harmsiana O.E. Schulz;Brassica ×harmsiana O.E. Schulz;Brassica × harmsiana;ecoflora;3692399;3042636;Brassica napus;Brassica rapa;3042636;3042636;7903057;7903057
Bromus x pseudothominei P.M.Sm.;name;Bromus × pseudothominei P.M.Sm.;Bromus ×pseudothominei P.M.Sm.;Bromus × pseudothominei;ecoflora;6084960;4124881;Bromus hordeaceus;Bromus lepidus;2703777;2703777;2703711;2703711
Buddleja x weyeriana Weyer;name;Buddleja × weyeriana Weyer;Buddleja ×weyeriana Weyer;Buddleja × weyeriana;ecoflora;4927640;4927640;Buddleja davidii;Buddleja globosa;3173338;3173338;6387494;6387494
Calystegia x howittiorum Brummitt;name;Calystegia × howittiorum Brummitt;Calystegia ×howittiorum Brummitt;Calystegia × howittiorum;ecoflora;3679407;3679407;Calystegia pulchra;Calystegia silvatica;3678949;3678949;2928446;2928446
Calystegia x lucana (Ten.) G. Don;name;Calystegia × lucana (Ten.) G. Don;Calystegia ×lucana (Ten.) G. Don;Calystegia × lucana;ecoflora;3679288;3679288;Calystegia sepium;Calystegia silvatica;2928441;2928441;2928446;2928446
Calystegia x scanica Brummitt;name;Calystegia × scanica Brummitt;Calystegia ×scanica Brummitt;Calystegia × scanica;ecoflora;3678851;3678851;Calystegia sepium;Calystegia pulchra;2928441;2928441;3678949;3678949
Capsella x gracilis Gren.;name;Capsella × gracilis Gren.;Capsella ×gracilis Gren.;Capsella × gracilis;ecoflora;5375428;5375425;Capsella bursa-pastoris;Capsella rubella;5375388;5375388;5375425;5375425
Centaurea x moncktonii C.E. Britton;name;Centaurea × moncktonii C.E. Britton;Centaurea ×moncktonii C.E. Britton;Centaurea × moncktonii;ecoflora;4925587;7223253;Centaurea nigra;Centaurea jacea;3128225;3128225;3128547;3128547
Cerastium x maueri M.Schulze;name;Cerastium × maureri M.Schulze;Cerastium ×maureri M.Schulze;Cerastium × maureri;ecoflora;7925372;7925372;Cerastium arvense;Cerastium tomentosum;3085433;3085433;3085438;3085438
Chenopodium x bontei Aellen;name;Chenopodium × bontei Aellen;Chenopodium ×bontei Aellen;Chenopodium × bontei;ecoflora;6035591;7720286;Chenopodium carinatum;Chenopodium cristatum;3083833;5568424;3083870;5568415
