verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Achillea millefolium × nobilis;florkart;Achillea millefolium × nobilis;formula;Achillea millefolium × nobilis;NA;NA;Achillea millefolium;Achillea nobilis;3120060;3120060;3120024;3120024
Achillea millefolium × pannonica;florkart;Achillea millefolium × pannonica;formula;Achillea millefolium × pannonica;NA;NA;Achillea millefolium;Achillea pannonica;3120060;3120060;3120129;3120129
Achillea nobilis × setacea;florkart;Achillea nobilis × setacea;formula;Achillea nobilis × setacea;NA;NA;Achillea nobilis;Achillea setacea;3120024;3120024;3120066;3120066
Acinos alpinus × arvensis;florkart;Acinos alpinus × arvensis;formula;Acinos alpinus × arvensis;NA;NA;Acinos alpinus;Acinos arvensis;7308311;7307319;2927116;2927118
Aconitum napellus × variegatum;florkart;Aconitum napellus × variegatum;formula;Aconitum napellus × variegatum;10636318;7276900;Aconitum napellus;Aconitum variegatum;3033665;3033665;8090449;8090449
Aconitum degenii × napellus;florkart;Aconitum degenii × napellus;formula;Aconitum degenii × napellus;10623823;10623823;Aconitum degenii;Aconitum napellus;8295887;8295887;3033665;3033665
Aconitum napellus × pilipes;florkart;Aconitum napellus × pilipes;formula;Aconitum napellus × pilipes;10420226;10420226;Aconitum napellus;Aconitum pilipes;3033665;3033665;7730898;7730898
Aconitum napellus × plicatum;florkart;Aconitum napellus × plicatum;formula;Aconitum napellus × plicatum;10169720;10169720;Aconitum napellus;Aconitum plicatum;3033665;3033665;7276774;7276774
Aconitum napellus × tauricum;florkart;Aconitum napellus × tauricum;formula;Aconitum napellus × tauricum;10378504;10378504;Aconitum napellus;Aconitum tauricum;3033665;3033665;7278285;7278285
Aconitum pilipes × tauricum;florkart;Aconitum pilipes × tauricum;formula;Aconitum pilipes × tauricum;10263068;10263068;Aconitum pilipes;Aconitum tauricum;7730898;7730898;7278285;7278285
Aconitum plicatum × variegatum;florkart;Aconitum plicatum × variegatum;formula;Aconitum plicatum × variegatum;10024983;10024983;Aconitum plicatum;Aconitum variegatum;7276774;7276774;8090449;8090449
Aconitum tauricum × variegatum;florkart;Aconitum tauricum × variegatum;formula;Aconitum tauricum × variegatum;10227341;10227341;Aconitum tauricum;Aconitum variegatum;7278285;7278285;8090449;8090449
Aconitum degenii × pilipes;florkart;Aconitum degenii × pilipes;formula;Aconitum degenii × pilipes;10019139;10019139;Aconitum degenii;Aconitum pilipes;8295887;8295887;7730898;7730898
Aconitum degenii × variegatum;florkart;Aconitum degenii × variegatum;formula;Aconitum degenii × variegatum;10268996;10268996;Aconitum degenii;Aconitum variegatum;8295887;8295887;8090449;8090449
Aconitum pilipes × variegatum;florkart;Aconitum pilipes × variegatum;formula;Aconitum pilipes × variegatum;10414332;10414332;Aconitum pilipes;Aconitum variegatum;7730898;7730898;8090449;8090449
Agrimonia eupatoria × odorata;florkart;Agrimonia eupatoria × odorata;formula;Agrimonia eupatoria × odorata;NA;NA;Agrimonia eupatoria;Agrimonia odorata;3001956;3001956;8119793;8119793
Agrostis capillaris × gigantea;florkart;Agrostis capillaris × gigantea;formula;Agrostis capillaris × gigantea;9675942;9675942;Agrostis capillaris;Agrostis gigantea;2706490;2706490;2706541;2706541
