verbatim;parent;type;edited;source
Allium ×proliferum;Allium cepa;name;Allium ×proliferum;wikidata
Salix ×grahamii;Salix repens;name;Salix ×grahamii;wikidata
Salix ×boydii;Salix reticulata;name;Salix ×boydii;wikidata
Salix ×austriaca;Salix purpurea;name;Salix ×austriaca;wikidata
Salix ×rubra;Salix purpurea;name;Salix ×rubra;wikidata
Prunus ×amygdalopersica;Prunus dulcis;name;Prunus ×amygdalopersica;wikidata
×Malosorbus florentina;Malus sylvestris;name;×Malosorbus florentina;wikidata
Viola mirabilis × riviniana;Viola riviniana;name;Viola mirabilis × riviniana;wikidata
Citrus × sinensis;Citrus maxima;name;Citrus ×sinensis;wikidata
Picea × lutzii;Picea glauca;name;Picea ×lutzii;wikidata
Picea albertiana;Picea glauca;name;Picea albertiana;wikidata
Aloe ×schimperi;Aloe maculata;name;Aloe ×schimperi;wikidata
Salix ×tsugaluensis;Salix integra;name;Salix ×tsugaluensis;wikidata
Cistus akamantis;Cistus salviifolius;name;Cistus akamantis;wikidata
Cistus florentinus;Cistus salviifolius;name;Cistus florentinus;wikidata
Cistus obtusifolius;Cistus salviifolius;name;Cistus obtusifolius;wikidata
Cistus cebennensis;Cistus salviifolius;name;Cistus cebennensis;wikidata
Cistus verguinii;Cistus salviifolius;name;Cistus verguinii;wikidata
Cistus pauranthus;Cistus salviifolius;name;Cistus pauranthus;wikidata
Cistus timbalii;Cistus salviifolius;name;Cistus timbalii;wikidata
Cistus neyrauti;Cistus salviifolius;name;Cistus neyrauti;wikidata
Cistus hybridus;Cistus salviifolius;name;Cistus hybridus;wikidata
Cistus ×dubius;Cistus salviifolius;name;Cistus ×dubius;wikidata
Aloe ×schimperi;Aloe striata;name;Aloe ×schimperi;wikidata
Pyrus ×irregularis;Pyrus communis;name;Pyrus ×irregularis;wikidata
Galactites ×rigualii;Galactites tomentosus;name;Galactites ×rigualii;wikidata
Populus ×canadensis;Populus nigra;name;Populus ×canadensis;wikidata
Populus ×berolinensis;Populus nigra;name;Populus ×berolinensis;wikidata
Picea × lutzii;Picea sitchensis;name;Picea ×lutzii;wikidata
×Malosorbus florentina;Sorbus torminalis;name;×Malosorbus florentina;wikidata
Ulmus ×hollandica;Ulmus minor;name;Ulmus ×hollandica;wikidata
Ulmus ×hollandica;Ulmus glabra;name;Ulmus ×hollandica;wikidata
Cylindropuntia ×fosbergii;Cylindropuntia bigelovii;name;Cylindropuntia ×fosbergii;wikidata
Hibiscadelphus ×puakuahiwi;Hibiscadelphus hualalaiensis;name;Hibiscadelphus ×puakuahiwi;wikidata
Populus ×canadensis;Populus deltoides;name;Populus ×canadensis;wikidata
Populus × jackii;Populus deltoides;name;Populus ×jackii;wikidata
Cylindropuntia ×fosbergii;Cylindropuntia echinocarpa;name;Cylindropuntia ×fosbergii;wikidata
Populus × jackii;Populus balsamifera;name;Populus ×jackii;wikidata
Colchicum ×agrippinum;Colchicum autumnale;name;Colchicum ×agrippinum;wikidata
Tilia × europaea;Tilia platyphyllos;name;Tilia ×europaea;wikidata
Galium ×pomeranicum;Galium verum;name;Galium ×pomeranicum;wikidata
Betula aurata;Betula pendula;name;Betula aurata;wikidata
Alnus pubescens;Alnus glutinosa;name;Alnus pubescens;wikidata
Salix ×grahamii;Salix aurita;name;Salix ×grahamii;wikidata
Salix ×laestadiana;Salix cinerea;name;Salix ×laestadiana;wikidata
Salix ×altobracensis;Salix cinerea;name;Salix ×altobracensis;wikidata
Symphytum ×uplandicum;Symphytum officinale;name;Symphytum ×uplandicum;wikidata
Betula aurata;Betula pubescens;name;Betula aurata;wikidata
Alnus pubescens;Alnus incana;name;Alnus pubescens;wikidata
Amaranthus × soproniensis;Amaranthus retroflexus;name;Amaranthus ×soproniensis;wikidata
Amaranthus × adulterinus;Amaranthus retroflexus;name;Amaranthus ×adulterinus;wikidata
Platanus × hispanica;Platanus occidentalis;name;Platanus ×hispanica;wikidata
Carex ×acutangula;Carex acuta;name;Carex ×acutangula;wikidata
Pyrus ×irregularis;Sorbus aria;name;Pyrus ×irregularis;wikidata
Carex x takoensis;Carex lasiocarpa;name;Carex x takoensis;wikidata
Atriplex ×northusana;Atriplex patula;name;Atriplex ×northusana;wikidata
Acer ×freemanii;Acer saccharinum;name;Acer ×freemanii;wikidata
Rubus ×castoreus;Rubus saxatilis;name;Rubus ×castoreus;wikidata
Salix ×rubra;Salix viminalis;name;Salix ×rubra;wikidata
Malus dawsoniana;Malus pumila;name;Malus dawsoniana;wikidata
Tilia × euchlora;Tilia cordata;name;Tilia ×euchlora;wikidata
Tilia × europaea;Tilia cordata;name;Tilia ×europaea;wikidata
Annona ×atemoya;Annona cherimola;name;Annona ×atemoya;wikidata
Rumex ×dolosus;Rumex aquaticus;name;Rumex ×dolosus;wikidata
Rumex ×cacozelus;Rumex aquaticus;name;Rumex ×cacozelus;wikidata
Salix ×cottetii;Salix myrsinifolia;name;Salix ×cottetii;wikidata
Orchis × loreziana;Orchis pallens;name;Orchis ×loreziana;wikidata
Epilobium ×gerardii;Epilobium anagallidifolium;name;Epilobium ×gerardii;wikidata
Salix ×laurina;Salix caprea;name;Salix ×laurina;wikidata
