hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
× Goydirola punctata A.O.Araujo & M.Peixoto;Goyazia petraea (S.M.Phillips) Wiehler;Mandirola hirsuta (DC.) A.O.Araujo & Chautems;NA;5592171;7398920
×Agropogon hondoensis (Ohwi) Hiyama;Agrostis palustris Huds.;Polypogon fugax Nees ex Steud.;4125958;2706439;5289912
×Agropogon robinsonii (Druce) Melderis & D.C.McClint.;Agrostis stolonifera L.;Polypogon viridis (Gouan) Breistr.;4135289;2706435;5289919
×Agrotrigia berelica Kotukhov;Agropyron krylovianum Schischk.;Elytrigia geniculata (Trin.) Nevski;4113761;4131787;4154042
×Alpingera martinica Luc-Cayol;Alpinia purpurata (Vieill.) K.Schum.;Etlingera elatior (Jack) R.M.Sm.;4928492;5301960;2759896
×Anacampaludorchis duquesneyi (Rchb.f.) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Paludorchis palustris (Jacq.) P.Delforge;8380586;2808330;5951453
×Anacampaludorchis larzacensis (H.Kurze & O.Kurze) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Paludorchis laxiflora (Lam.) P.Delforge;5951471;2808330;5951480
×Anacampterorchis laniccae (Braun-Blanq.) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Herorchis morio (L.) D.Tyteca & E.Klein;5951473;2808330;2808594
×Anacampteulenia vanlookenii (C.Bernard & G.Fabre) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951472;2808330;2808674
×Anacamptorchis bassoulsii (Balayer) B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis militaris L.;7684389;2808646;2809968
×Anacamptorchis bonnieriana (E.G.Camus) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis militaris L.;7472628;2808399;2809968
×Anacamptorchis celtiberica (Pau) B.Bock;Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;7963597;2808461;8794742
×Anacamptorchis christiani-bernardii B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;7504776;2808646;8794742
×Anacamptorchis grazianiae (Conrad) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis pauciflora Ten.;7351446;2808565;2785019
×Anacamptorchis ladurneri (Murr) B.Bock;Anacamptis picta (Loisel.) R.M.Bateman;Orchis militaris L.;8085674;2808593;2809968
×Anacamptorchis larzacensis H.Kurze & O.Kurze;Anacamptis pyramidalis (L.) Rich.;Orchis laxiflora Lam.;2808639;2808330;2808405
×Anacamptorchis lauzensis (Balayer) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis provincialis Balb.;8010008;2808565;8104493
×Anacamptorchis lesbiensis Biel;Anacamptis pyramidalis (L.) Rich.;Orchis sancta L.;2808520;2808330;2808531
×Anacamptorchis neogennarii (E.G.Camus) B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis provincialis Balb.;7849376;2808646;8104493
×Anacamptorchis perretii (K.Richt.) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;8370601;2808565;8794742
×Anacamptorchis vanlookenii C.Bernard & G.Fabre;Anacamptis pyramidalis (L.) Rich.;Orchis papilionacea L.;2808460;2808330;2808686
×Anteriocamptis lesbiensis (Biel) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Anteriorchis sancta (L.) E.Klein & Strack;5951498;2808330;2808532
×Anteriocamptis simorrensis (E.G.Camus) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Anteriorchis fragrans (Pollini) Szlach.;5951499;2808330;2808469
